State;Up;Down;Left;Right;Stay
1|1|2|1001|0|-1;-50.80426;145.8928;170.2443;-54.85875;-89.06169
-1|-1|0|0000|1|0;-809.8484;-2905.69;-3040.316;-810.0457;-874.2172
0|1|2|1000|0|-1;-17.66602;65.63258;137.5126;101.5289;-37.81972
1|1|2|0110|0|1;65.73887;-131.9471;-147.4982;63.44838;-182.2069
0|1|2|0110|0|1;82.60126;-102.8174;-151.2924;120.5554;-111.6739
-1|1|0|1000|0|-1;-786.0524;-784.3318;-2291.998;-784.2099;-785.327
-1|0|2|1000|0|-1;-75.70171;157.3534;25.17357;142.2866;-82.90512
-1|1|2|0100|-1|0;14.44644;-231.7639;5.368812;124.3827;-125.4716
-1|0|0|1001|0|-1;-3824.944;-865.6362;-5675.53;-4390.711;-4186.845
0|-1|2|0000|0|1;131.9957;6.692706;154.5006;136.2698;-78.48691
0|-1|2|0100|0|1;157.3064;-58.0948;155.9096;156.1669;-62.42941
0|-1|2|0000|1|0;154.5952;123.4126;153.9292;157.302;-61.99621
1|1|2|0010|0|-1;27.57483;124.8427;-136.7325;92.6077;-150.6774
1|1|1|0001|0|1;-400.127;9.631892;-99.64997;-205.8699;-337.5102
0|0|0|0100|1|0;0;0;0;0;-1000
-1|1|1|0010|0|1;-260.7333;25.09056;-197.2351;-35.92302;-175.6945
-1|1|0|0010|0|1;-2956.647;-809.5212;-810.5697;-810.03;-810.9405
0|-1|1|0000|0|-1;-81.8928;-908.3176;-12.66384;-57.3828;-776.6082
-1|-1|0|1001|0|-1;-1023.002;-2277.543;-2891.962;-1022.577;-1021.539
1|1|2|0100|1|0;112.0032;-62.64237;156.8496;29.87725;-70.04224
1|-1|1|0100|1|0;100.8526;-78.61525;59.66756;24.35582;-87.94048
1|-1|1|0100|-1|0;89.17761;-153.7799;132.6093;-117.4949;-118.4816
0|-1|0|0100|-1|0;-38.02637;-40;26.90004;-341.699;-75.37283
0|-1|0|1000|-1|0;-3979.071;-4574.646;-863.1849;-863.3331;-3764.013
-1|-1|1|0100|0|1;58.72959;-365.7995;-565.0801;77.42178;-319.6657
-1|-1|1|0001|0|1;-22.82497;-183.5385;-482.9261;-700.9367;-292.2705
-1|0|1|0001|0|1;-135.6219;-306.4309;-151.4189;-308.9086;-391.8487
0|0|0|0101|0|1;-1000;0;0;0;0
1|-1|1|0010|0|1;19.47813;-105.7611;-226.1097;-407.9749;-570.8947
1|-1|1|0011|0|1;42.67842;-420.061;-234.7003;-684.3602;-289.1748
1|-1|1|0010|0|-1;-400.7127;-425.9785;-572.895;-727.3831;-633.0629
1|0|0|0010|0|-1;-886.6298;-886.8866;-4472.067;-6208.283;-3879.384
1|1|1|0110|0|1;-683.1641;-935.011;-795.8701;-790.8828;-806.5212
-1|1|1|0000|1|0;-359.547;-121.202;81.99314;90.98144;-197.5551
0|1|0|0001|0|1;-4549.265;-884.0687;-884.0594;-1712.744;-4677.316
-1|0|2|0010|0|1;98.85476;162.6365;-81.66288;146.7978;-54.65257
-1|-1|1|0010|0|1;81.80907;-732.5557;-285.5362;11.16983;-391.2273
1|1|2|1000|1|0;-90.18637;141.5334;168.9417;89.36056;-57.22136
1|1|1|0100|1|0;-565.9918;-377.389;-136.5202;-711.9814;-329.3801
0|1|1|0100|1|0;-57;-177.7373;13.68227;0;-178.72
0|1|0|1000|1|0;-228.8615;-9.27457;-142.3548;-46.66907;-204.0177
-1|1|0|1000|1|0;-584.2662;-688.7823;-3932.577;-582.4016;-581.0323
-1|0|0|1000|-1|0;-2292.616;-862.002;-4583.997;-862.1012;-3587.123
-1|0|0|0100|-1|0;-856.5874;-3475.636;-4644.192;-857.6174;-2861.244
1|0|2|0010|0|1;136.4415;95.49229;-87.99435;30.06714;-164.927
1|0|2|0010|0|-1;119.6265;126.4253;-110.0898;103.2017;-97.66528
1|1|0|0001|0|1;-1126.068;-688.0037;-687.7362;-689.867;-686.3452
-1|1|0|0100|1|0;-3341.088;-896.4237;-2917.432;-813.4956;-813.564
0|1|0|0100|1|0;-4909.245;-4520.217;-868.9014;-868.9102;-2586.407
1|1|0|0100|1|0;-1715.672;-872.7696;-870.4548;-2515.465;-873.3379
1|0|0|1000|1|0;-2855.956;-860.0672;-860.2123;-4979.649;-3814.283
1|0|1|0000|1|0;60.9538;-21.87794;70.47813;-637.3759;-417.9853
1|1|2|1000|-1|0;-116.5673;104.684;169.4969;91.54295;-50.68911
1|1|2|0100|-1|0;91.98193;-73.80006;140.7073;113.9638;-127.4201
0|1|1|1000|1|0;-40.31646;47.19851;0;96.57686;-65.13623
1|1|0|0110|0|1;-2977.974;-1008.047;-1077.701;-3024.828;-1015.677
0|1|0|0110|0|1;-4672.907;-3651.441;-2873.33;-884.94;-3558.791
-1|0|1|0000|1|0;22.40685;-5.521278;-571.3372;80.67188;-495.745
-1|1|1|0100|1|0;-430.5394;-500.7721;-558.4934;-134.2956;-333.5247
-1|0|0|0100|1|0;-853.2372;-4116.947;-3974.452;-853.2825;-3553.573
1|-1|0|0010|0|-1;-943.9997;-3351.065;-964.9753;-2818.313;-983.3753
1|0|1|0010|0|1;-85.65593;-92.79945;-682.932;-394.7551;-551.2717
1|0|2|0000|0|-1;123.562;156.2731;149.4108;33.29551;-57.96793
1|-1|0|1010|0|-1;-1024.134;-3451.269;-1026.262;-4954.432;-1065.728
1|0|0|1010|0|-1;-2701.998;-886.8681;-3181.299;-5294.799;-2976.243
0|0|0|1010|0|-1;0;0;0;0;0
1|-1|1|1000|1|0;-365.2883;-43.20202;104.9428;-559.225;-202.7518
0|-1|1|0000|1|0;66.4735;51.11869;110.0849;96.18715;-248.2172
0|-1|1|1000|1|0;-233.1127;-140.5889;87.67669;90.38421;-115.3064
1|0|0|1100|1|0;-3141.367;-1761.904;-861.4045;-5510.774;-3567.412
0|0|0|1100|1|0;0;0;0;0;0
0|1|0|1000|0|-1;-214.9597;36.5146;-100.9077;-229.7525;-166.1756
0|-1|0|1010|0|-1;-3850.205;-4189.747;-3743.282;-885.1179;-2706.297
-1|-1|2|0010|0|-1;102.9161;106.9058;-78.52384;142.5538;-78.03519
1|1|1|1000|-1|0;-62.73332;70.87871;104.3982;-4.415097;-94.69273
1|1|1|0100|-1|0;-19.80809;-137.4903;3.852473;-379.046;-185.4919
1|1|1|1000|1|0;-127.3825;-13.18201;86.43819;-617.9044;-187.9394
-1|1|0|0100|-1|0;-4194.001;-782.6973;-2649.404;-782.9041;-782.8736
0|1|0|0100|-1|0;-4583.545;-4931.918;-866.9822;-867.1361;-4807.714
0|1|0|0001|0|-1;-4760.38;-882.3441;-882.3436;-4891.339;-4367.945
0|-1|1|0010|0|1;8.37314;-877.8466;-659.4127;27.63759;-457.4642
1|1|0|1000|1|0;-752.6605;-751.9885;-788.3816;-5673.706;-862.6273
1|1|0|0010|0|-1;-3695.171;-884.2408;-884.334;-4783.087;-884.1766
-1|-1|1|0010|0|-1;22.06479;21.8027;-115.0195;60.19107;-76.20498
1|-1|1|1100|1|0;-223.2713;-205.9171;102.6996;-591.2763;-268.3068
0|-1|0|0010|0|-1;-886.0754;-4616.553;-3732.771;-886.1165;-2692.437
0|1|1|0001|0|1;-487.3472;-62.94369;45.63443;-416.7739;-471.6437
1|0|2|1000|0|-1;-99.11803;153.2184;139.308;30.54374;-79.23711
1|1|0|0100|-1|0;-2094.499;-846.4647;-846.0962;-1477.117;-846.8957
1|0|0|0100|-1|0;-846.3405;-4536.689;-846.8333;-5147.615;-4412.164
1|1|1|1100|1|0;-129.3983;-166.0425;-57.63318;-92.5378;-160.2996
1|0|1|0001|0|1;61.96739;82.59312;114.03;0;-11.20667
-1|0|2|0100|1|0;131.4418;-95.91622;82.75233;0;-65.97897
-1|1|1|0001|-1|0;-176.2805;78.76951;-187.5242;-212.8185;-301.6021
-1|1|1|0101|0|1;-778.6107;-814.7578;-594.7365;-748.4514;-819.7385
-1|-1|1|1001|0|-1;-867.3245;-903.6841;-864.0466;-867.4577;-866.9821
0|-1|1|0001|0|-1;-147.7426;-401.9148;-86.23916;-422.4349;-244.891
-1|1|1|0100|-1|0;-568.3929;-243.5257;-271.4609;-44.75261;-265.3894
0|-1|2|0000|0|-1;103.7474;12.16488;119.0028;117.4793;-94.32224
-1|-1|2|0100|1|0;152.8613;-95.01247;32.51263;140.5288;-75.13943
-1|-1|2|0000|-1|0;128.659;72.0559;122.3754;133.4435;-83.90038
-1|0|2|1100|1|0;-113.8504;-124.0247;2.14535;147.4035;-124.9576
-1|0|2|1000|1|0;-86.29041;102.9078;52.83173;135.4927;-121.5038
-1|1|2|0001|-1|0;5.326715;93.55793;93.94926;-131.1052;-180.3864
-1|0|1|1100|1|0;-313.3828;-181.2384;-411.031;65.84612;-213.7715
-1|0|0|0000|1|0;-872.4307;-881.8963;-4656.231;-881.8574;-2735.248
0|1|0|0000|1|0;-6196.394;-877.1975;-877.159;-868.6122;-4524.993
1|-1|0|0100|1|0;-149.7549;-160.9741;-102.738;-108.5529;-130.8518
1|0|0|0100|1|0;-865.4682;-4099.397;-866.9246;-5002.236;-4184.15
-1|-1|2|1000|-1|0;-90.19194;79.33873;26.49273;144.9244;-107.9649
-1|-1|0|0100|1|0;-548.7767;-351.8967;-371.602;-349.1017;-367.305
0|-1|2|0010|0|-1;92.13229;37.85232;-119.084;104.0421;-207.0782
1|-1|0|1100|1|0;-836.8116;-799.7255;-800.2432;-2612.54;-846.9844
1|1|2|1100|1|0;-63.7432;-98.49609;133.1319;47.8642;-15.15478
-1|0|0|1100|1|0;-3411.895;-2819.215;-3637.122;-880.2422;-2596.905
1|-1|1|0001|0|1;33.00606;-325.8889;39.28612;-226.9419;-175.9909
0|-1|2|1001|0|-1;-63.97859;34.17842;72.96857;-57.03704;-125.4081
1|-1|2|1000|-1|0;-60.20527;60.98866;132.9845;-62.99369;-107.7761
0|-1|1|0100|-1|0;21.49259;-91.8676;49.62056;37.52741;-33.07694
-1|-1|1|0100|-1|0;55.81265;-120.6868;-177.228;3.949076;-145.3653
-1|-1|2|0100|-1|0;129.0934;-73.40177;96.33186;127.4349;-90.47808
1|-1|1|1000|-1|0;-76.83488;-84.92556;81.45657;-160.4117;-215.7434
1|-1|0|1000|1|0;-869.0987;-2612.816;-839.2204;-1849.004;-839.1232
-1|0|2|0000|1|0;131.5805;157.852;99.05103;162.1626;-79.03394
